Item,Fecha,N° Guía,Cliente,RUC Cliente,Destino,Estado Reportado,Soporte Recibido,,,
86,24/03/26,GR-1086,Constructora Graña,20334259392,Miraflores,Incidencia,Foto WhatsApp,,,
87,25/03/26,GR-1087,Almacenes Santa Rosa,2042...,Santa Anita,Entregado,Foto WhatsApp,,,
88,25/03/26,GR-1088,Distribuidora Mi Perú,20601245893,Los Olivos,Entregado,Físico,,,
89,25/03/26,GR-1089,Ferretería El Progreso,20123456789,Comas,Incidencia,Foto WhatsApp,,,
90,26/03/26,GR-1090,Sodifer S.A.C.,2051...,San Borja,Pendiente,Físico,,,
91,26/03/26,GR-1091,Inversiones J&M,20768874883,Cercado,Entregado,Foto WhatsApp,,,
92,26/03/26,GR-1092,Metal Mecánica El Pino,20128874561,La Victoria,Entregado,Sin archivo,,,
93,27/03/26,GR-1093,Gamma Cargo S.A.C.,2055...,Callao,Entregado,Foto WhatsApp,,,
94,27/03/26,GR-1094,Aceros Dayana S.A.C.,2045...,Ate,No llegó,Foto WhatsApp,,,
95,27/03/26,GR-1095,Almacenes Santa Rosa,20422265183,Santa Anita,Entregado,Físico,,,
96,28/03/26,GR-1096,Industrial Mega S.A.C.,2046...,V.E.S.,Entregado,Foto WhatsApp,,,
97,28/03/26,GR-1097,Constructora Graña,20334259392,Miraflores,Incidencia ,Físico,,,
98,30/03/26,GR-1098,Distribuidora Mi Perú,20601245893,Los Olivos,Retraso,Foto WhatsApp,,,
99,30/03/26,GR-1099,Ferretería El Progreso,2012...,Comas,Entregado,Sin archivo,,,
100,31/03/26,GR-1100,Gamma Cargo S.A.C.,20554896321,Callao,Rechazado,Foto WhatsApp,,,
101,31/03/26,GR-1101,Aceros Dayana S.A.C.,20456123789,Ate,Entregado,Foto WhatsApp,,,
102,31/03/26,GR-1102,Sodifer S.A.C.,2051...,San Borja,Entregado,Físico,,,
103,01/04/26,GR-1103,Almacenes Santa Rosa,20422265183,Santa Anita,Incidencia,Sin archivo,,,
104,01/04/26,GR-1104,Inversiones J&M,20768874883,Cercado,Entregado,Foto WhatsApp,,,
105,01/04/26,GR-1105,Gamma Cargo S.A.C.,2055...,Callao,Pendiente,Foto WhatsApp,,,
106,02/04/26,GR-1106,Constructora Graña,20334259392,Miraflores,Entregado,Foto WhatsApp,,,
107,02/04/26,GR-1107,Industrial Mega S.A.C.,20466470434,V.E.S.,Entregado,Físico,,,
108,02/04/26,GR-1108,Ferretería El Progreso,2012...,Comas,Incidencia ,Foto WhatsApp,,,
109,03/04/26,GR-1109,Distribuidora Mi Perú,20601245893,Los Olivos,Retraso,Foto WhatsApp,,,
110,03/04/26,GR-1110,Metal Mecánica El Pino,20128874561,La Victoria,Entregado,Sin archivo,,,
111,03/04/26,GR-1111,Aceros Dayana S.A.C.,2045...,Ate,Entregado,Foto WhatsApp,,,
112,04/04/26,GR-1112,Gamma Cargo S.A.C.,20554896321,Callao,Entregado,Físico,,,
113,04/04/26,GR-1113,Almacenes Santa Rosa,2042...,Santa Anita,No llegó,Sin archivo,,,
114,04/04/26,GR-1114,Sodifer S.A.C.,2051...,San Borja,Entregado,Foto WhatsApp,,,
115,06/04/26,GR-1115,Inversiones J&M,2076...,Cercado,Entregado,Sin archivo,,,
116,06/04/26,GR-1116,Constructora Graña,20334259392,Miraflores,Pendiente,Foto WhatsApp,,,
117,06/04/26,GR-1117,Ferretería El Progreso,20123456789,Comas,Entregado,Físico,,,
118,07/04/26,GR-1118,Industrial Mega S.A.C.,2046...,V.E.S.,Entregado,Foto WhatsApp,,,
119,07/04/26,GR-1119,Aceros Dayana S.A.C.,20456123789,Ate,Entregado,Sin archivo,,,
120,07/04/26,GR-1120,Distribuidora Mi Perú,20601245893,Los Olivos,Incidencia,Foto WhatsApp,,,
121,08/04/26,GR-1121,Gamma Cargo S.A.C.,2055...,Callao,Entregado,Físico,,,
122,08/04/26,GR-1122,Almacenes Santa Rosa,20422265183,Santa Anita,Entregado,Foto WhatsApp,,,
123,08/04/26,GR-1123,Sodifer S.A.C.,2051....,San Borja,Rechazado,Físico,,,
124,09/04/26,GR-1124,Inversiones J&M,20768874883,Cercado,Entregado,Foto WhatsApp,,,
125,09/04/26,GR-1125,Metal Mecánica El Pino,2012...,La Victoria,Entregado,Sin archivo,,,
126,09/04/26,GR-1126,Constructora Graña,20334259392,Miraflores,Incidencia ,Foto WhatsApp,,,
127,10/04/26,GR-1127,Industrial Mega S.A.C.,20466470434,V.E.S.,Pendiente,Foto WhatsApp,,,
128,10/04/26,GR-1128,Ferretería El Progreso,20123456789,Comas,Entregado,Físico,,,
129,10/04/26,GR-1129,Aceros Dayana S.A.C.,2045...,Ate,Entregado,Sin archivo,,,
130,11/04/26,GR-1130,Gamma Cargo S.A.C.,20554896321,Callao,Entregado,Foto WhatsApp,,,
131,11/04/26,GR-1131,Almacenes Santa Rosa,2042...,Santa Anita,Incidencia,Sin archivo,,,
132,11/04/26,GR-1132,Sodifer S.A.C.,20519534257,San Borja,Entregado,Físico,,,
133,13/04/26,GR-1133,Inversiones J&M,2076...,Cercado,Entregado,Foto WhatsApp,,,
134,13/04/26,GR-1134,Constructora Graña,2033...,Miraflores,Entregado,Sin archivo,,,
135,13/04/26,GR-1135,Industrial Mega S.A.C.,20466470434,V.E.S.,No llegó,Foto WhatsApp,,,
136,14/04/26,GR-1136,Ferretería El Progreso,20123456789,Comas,Entregado,Físico,,,
137,14/04/26,GR-1137,Distribuidora Mi Perú,2060...,Los Olivos,Entregado,Foto WhatsApp,,,
138,14/04/26,GR-1138,Aceros Dayana S.A.C.,20456123789,Ate,Incidencia,Físico,,,
139,15/04/26,GR-1139,Gamma Cargo S.A.C.,20554896321,Callao,Retraso,Foto WhatsApp,,,
140,15/04/26,GR-1140,Almacenes Santa Rosa,2042...,Santa Anita,Entregado,Sin archivo,,,
141,15/04/26,GR-1141,Sodifer S.A.C.,20519534257,San Borja,Entregado,Foto WhatsApp,,,
142,16/04/26,GR-1142,Inversiones J&M,20768874883,Cercado,Pendiente,Foto WhatsApp,,,
143,16/04/26,GR-1143,Metal Mecánica El Pino,2012...,La Victoria,Entregado,Físico,,,
144,16/04/26,GR-1144,Constructora Graña,2033...,Miraflores,Entregado,Sin archivo,,,
145,17/04/26,GR-1145,Industrial Mega S.A.C.,2046...,V.E.S.,Entregado,Foto WhatsApp,,,
146,17/04/26,GR-1146,Ferretería El Progreso,2012...,Comas,No llegó,Foto WhatsApp,,,
147,17/04/26,GR-1147,Aceros Dayana S.A.C.,20456123789,Ate,Entregado,Físico,,,
148,18/04/26,GR-1148,Gamma Cargo S.A.C.,2055...,Callao,Entregado,Foto WhatsApp,,,
149,18/04/26,GR-1149,Almacenes Santa Rosa,20422265183,Santa Anita,Incidencia,Sin archivo,,,
150,18/04/26,GR-1150,Sodifer S.A.C.,20519534257,San Borja,Entregado,Foto WhatsApp,,,
